strain	od	count	df	ml_plated
ES4326	1	1760	1000000	0.1
ES4326	1	1380	1000000	0.1
ES4326	1	1728	1000000	0.1
ES4326	0.1	237	1000000	0.1
ES4326	0.1	243	1000000	0.1
ES4326	0.1	250	1000000	0.1
ES4326	0.01	168	10000	0.1
ES4326	0.01	209	10000	0.1
ES4326	0.01	194	10000	0.1
NP29	1	354	100000000	0.1
NP29	1	183	100000000	0.1
NP29	1	437	100000000	0.1
NP29	0.1	34	1000000	0.1
NP29	0.1	13	1000000	0.1
NP29	0.1	13	1000000	0.1
NP29	0.01	104	10000	0.1
NP29	0.01	109	10000	0.1
NP29	0.01	133	10000	0.1
DC3000	1	81	100000000	0.1
DC3000	1	76	100000000	0.1
DC3000	1	73	100000000	0.1
DC3000	0.1	245	1000000	0.1
DC3000	0.1	297	1000000	0.1
DC3000	0.1	268	1000000	0.1
DC3000	0.01	168	10000	0.1
DC3000	0.01	159	10000	0.1
DC3000	0.01	142	10000	0.1
A9	1	34	100000000	0.1
A9	1	37	100000000	0.1
A9	1	50	100000000	0.1
A9	0.1	26	1000000	0.1
A9	0.1	29	1000000	0.1
A9	0.1	26	1000000	0.1
A9	0.01	98	10000	0.1
A9	0.01	79	10000	0.1
A9	0.01	96	10000	0.1
A1448	1	4	100000000	0.1
A1448	1	4	100000000	0.1
A1448	1	4	100000000	0.1
A1448	0.1	36	1000000	0.1
A1448	0.1	27	1000000	0.1
A1448	0.1	31	1000000	0.1
A1448	0.01	190	10000	0.1
A1448	0.01	185	10000	0.1
A1448	0.01	227	10000	0.1
ES4326	1	2	100000000	0.1
ES4326	1	2	100000000	0.1
ES4326	0.1	29	1000000	0.1
ES4326	0.1	24	1000000	0.1
ES4326	0.01	0	10000	0.1
ES4326	0.01	0	10000	0.1
NP29	1	3	100000000	0.1
NP29	1	6	100000000	0.1
NP29	0.1	107	1000000	0.1
NP29	0.1	133	1000000	0.1
NP29	0.01	44	10000	0.1
NP29	0.01	30	10000	0.1
DC3000	1	1	100000000	0.1
DC3000	1	3	100000000	0.1
DC3000	0.1	99	1000000	0.1
DC3000	0.1	1	1000000	0.1
DC3000	0.01	2000	10000	0.1
DC3000	0.01	2000	10000	0.1
A9	1	2	100000000	0.1
A9	1	6	100000000	0.1
A9	0.1	31	1000000	0.1
A9	0.1	19	1000000	0.1
A9	0.01	145	10000	0.1
A9	0.01	110	10000	0.1
A1448	1	7	100000000	0.1
A1448	1	6	100000000	0.1
A1448	0.1	119	1000000	0.1
A1448	0.1	120	1000000	0.1
A1448	0.01	189	10000	0.1
A1448	0.01	176	10000	0.1
NP29	1	1	100000000	0.1
NP29	1	1	100000000	0.1
NP29	0.1	17	1000000	0.1
NP29	0.1	15	1000000	0.1
NP29	0.01	85	10000	0.1
NP29	0.01	108	10000	0.1
A9	1	4	100000000	0.1
A9	1	1	100000000	0.1
A9	0.1	18	1000000	0.1
A9	0.1	16	1000000	0.1
A9	0.01	174	10000	0.1
A9	0.01	80	10000	0.1
A1448	1	3	100000000	0.1
A1448	1	4	100000000	0.1
A1448	0.1	205	1000000	0.1
A1448	0.1	196	1000000	0.1
