well	target	task	ct	cv	pv	time	plate	ran
A1	At_gene	UNKNOWN	20.175	RRS10	A14	72	3	97
A2	At_gene	UNKNOWN	18.593	DERBY	A9	120	3	98
A3	At_gene	UNKNOWN	32.856	RADISH	A14	120	3	99
A4	At_gene	UNKNOWN	15.153	RADISH	DC	120	3	100
A5	At_gene	UNKNOWN	15.141	RADISH	B7	120	3	101
A6	At_gene	UNKNOWN	16.874	RRS10	A14	24	3	102
A7	At_gene	UNKNOWN	18.74	DERBY	A14	24	3	103
A8	At_gene	UNKNOWN	16.746	RRS10	A9	72	3	104
A9	At_gene	UNKNOWN	20.903	DERBY	DC	24	3	105
A10	At_gene	UNKNOWN	19.351	BRANDY	A14	72	3	106
A11	At_gene	UNKNOWN	22.17	AFRICAN	MOCK	24	3	107
A12	At_gene	UNKNOWN	16.997	BRANDY	A9	24	3	108
A13	oprF_syringae_gene	UNKNOWN	20.732	RRS10	A14	72	3	97
A14	oprF_syringae_gene	UNKNOWN	25.79	DERBY	A9	120	3	98
A15	oprF_syringae_gene	UNKNOWN	33.538	RADISH	A14	120	3	99
A16	oprF_syringae_gene	UNKNOWN	24.872	RADISH	DC	120	3	100
A17	oprF_syringae_gene	UNKNOWN	25.921	RADISH	B7	120	3	101
A18	oprF_syringae_gene	UNKNOWN	20.771	RRS10	A14	24	3	102
A19	oprF_syringae_gene	UNKNOWN	21.841	DERBY	A14	24	3	103
A20	oprF_syringae_gene	UNKNOWN	22.548	RRS10	A9	72	3	104
A21	oprF_syringae_gene	UNKNOWN	22.919	DERBY	DC	24	3	105
A22	oprF_syringae_gene	UNKNOWN	24.659	BRANDY	A14	72	3	106
A23	oprF_syringae_gene	UNKNOWN	26.058	AFRICAN	MOCK	24	3	107
A24	oprF_syringae_gene	UNKNOWN	24.309	BRANDY	A9	24	3	108
B1	At_gene	UNKNOWN	17.059	RRS10	NP	72	3	109
B2	At_gene	UNKNOWN	16.682	RADISH	A9	24	3	110
B3	At_gene	UNKNOWN	37.728	BRANDY	ES	24	3	111
B4	At_gene	UNKNOWN	15.901	GOLDEN	B7	120	3	112
B5	At_gene	UNKNOWN	14.945	GOLDEN	ES	72	3	113
B6	At_gene	UNKNOWN	16.319	RADISH	B7	72	3	114
B7	At_gene	UNKNOWN	17.381	GOLDEN	NP	120	3	115
B8	At_gene	UNKNOWN	16.845	BRANDY	A9	72	3	116
B9	At_gene	UNKNOWN	15.854	BRANDY	NP	72	3	117
B10	At_gene	UNKNOWN	22.517	DERBY	DC	72	3	118
B11	At_gene	UNKNOWN	18.921	GOLDEN	DC	24	3	119
B12	At_gene	UNKNOWN	18.709	RADISH	MOCK	120	3	120
B13	oprF_syringae_gene	UNKNOWN	21.643	RRS10	NP	72	3	109
B14	oprF_syringae_gene	UNKNOWN	22.461	RADISH	A9	24	3	110
B15	oprF_syringae_gene	UNKNOWN	36.837	BRANDY	ES	24	3	111
B16	oprF_syringae_gene	UNKNOWN	22.21	GOLDEN	B7	120	3	112
B17	oprF_syringae_gene	UNKNOWN	23.851	GOLDEN	ES	72	3	113
B18	oprF_syringae_gene	UNKNOWN	23.683	RADISH	B7	72	3	114
B19	oprF_syringae_gene	UNKNOWN	23.366	GOLDEN	NP	120	3	115
B20	oprF_syringae_gene	UNKNOWN	25.438	BRANDY	A9	72	3	116
B21	oprF_syringae_gene	UNKNOWN	24.511	BRANDY	NP	72	3	117
B22	oprF_syringae_gene	UNKNOWN	23.614	DERBY	DC	72	3	118
B23	oprF_syringae_gene	UNKNOWN	23.721	GOLDEN	DC	24	3	119
B24	oprF_syringae_gene	UNKNOWN	26.169	RADISH	MOCK	120	3	120
C1	At_gene	UNKNOWN	17.116	GOLDEN	NP	24	3	121
C2	At_gene	UNKNOWN	15.834	RADISH	A9	72	3	122
C3	At_gene	UNKNOWN	Undetermined	DERBY	MOCK	24	3	123
C4	At_gene	UNKNOWN	17.504	DERBY	A14	72	3	124
