Time,Temp,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,30.1,1,0.0973,0.0981,0.0976,0.0973,0.0981,0.0962,0.0976,0.098,0.0978,0.0986,0.0958,0.0974,0.0975,0.0948,0.0948,0.0951,0.0953,0.0945,0.0954,0.0956,0.0957,0.0966,0.0963,0.0948,0.0953,0.0937,0.0936,0.0939,0.0946,0.0937,0.0944,0.0938,0.0931,0.0934,0.0935,0.0956,0.096,0.0941,0.0921,0.0953,0.0942,0.0943,0.0939,0.094,0.0914,0.0957,0.096,0.0963,0.0964,0.0962,0.0967,0.0966,0.0962,0.0957,0.0954,0.0958,0.0959,0.0961,0.0961,0.0925,0.0967,0.0957,0.0987,0.0962,0.0965,0.097,0.0968,0.0962,0.0961,0.0955,0.0963,0.0961,0.0938,0.0974,0.098,0.0983,0.0973,0.0947,0.0979,0.0966,0.0977,0.0962,0.0969,0.0938,0.0969,0.0974,0.0986,0.0975,0.0973,0.0891,0.097,0.0953,0.0974,0.0967,0.0957,0.0962
899.879,30,2,0.0969,0.098,0.0975,0.0973,0.098,0.096,0.0975,0.0979,0.0975,0.0983,0.0955,0.0974,0.0973,0.0948,0.0953,0.0951,0.0952,0.0946,0.0951,0.0956,0.0958,0.0966,0.0964,0.0946,0.095,0.0937,0.0944,0.0941,0.0948,0.0937,0.0947,0.0939,0.0933,0.0934,0.0936,0.0954,0.0957,0.0942,0.0927,0.0945,0.0944,0.0942,0.0937,0.094,0.0918,0.096,0.0958,0.096,0.096,0.0959,0.0965,0.0963,0.0961,0.0954,0.0953,0.0957,0.0955,0.096,0.0961,0.0923,0.0965,0.0956,0.0987,0.0961,0.0965,0.0967,0.0961,0.0962,0.0961,0.0956,0.0961,0.0958,0.0932,0.0972,0.0977,0.0982,0.0971,0.0946,0.0971,0.0964,0.0973,0.0958,0.0967,0.094,0.0966,0.0973,0.0982,0.0973,0.0971,0.0889,0.097,0.0958,0.0972,0.0967,0.0956,0.0957
1799.867,30,3,0.0968,0.0978,0.0976,0.0969,0.098,0.0961,0.0975,0.0979,0.0977,0.0983,0.0956,0.0974,0.0972,0.0948,0.0951,0.0953,0.0953,0.0947,0.0955,0.0957,0.0959,0.0968,0.0964,0.0946,0.0951,0.0937,0.0941,0.0939,0.095,0.0936,0.0948,0.094,0.0934,0.0938,0.0938,0.0956,0.0958,0.0943,0.0927,0.0946,0.0943,0.0944,0.0939,0.094,0.0921,0.0978,0.0958,0.0961,0.0962,0.0957,0.0965,0.0963,0.096,0.0955,0.0953,0.0956,0.0955,0.0962,0.0962,0.0923,0.0967,0.0955,0.0988,0.0961,0.0964,0.0967,0.0962,0.0961,0.0962,0.0956,0.096,0.0959,0.0928,0.097,0.1127,0.0982,0.0969,0.0944,0.0966,0.0965,0.0973,0.096,0.0967,0.0944,0.0966,0.0973,0.0982,0.0972,0.0972,0.0887,0.0968,0.0953,0.0973,0.0967,0.0955,0.0957
2699.855,30.1,4,0.0967,0.0977,0.0977,0.0972,0.0978,0.0961,0.0973,0.0978,0.0976,0.0984,0.0956,0.0971,0.0972,0.0949,0.0945,0.0952,0.0953,0.0946,0.0954,0.0957,0.096,0.0969,0.0963,0.0946,0.0949,0.0941,0.0946,0.0941,0.0953,0.0937,0.0949,0.0941,0.0938,0.0939,0.0938,0.0957,0.0957,0.0944,0.0931,0.0958,0.0943,0.0943,0.0939,0.0942,0.0923,0.0958,0.0957,0.0959,0.096,0.0957,0.0964,0.0962,0.096,0.0955,0.0952,0.0956,0.0953,0.0963,0.0961,0.0924,0.0965,0.0953,0.0986,0.096,0.0963,0.0968,0.096,0.0962,0.0959,0.0955,0.0959,0.0956,0.0927,0.0971,0.0996,0.098,0.0971,0.0946,0.0971,0.0963,0.0973,0.0959,0.0967,0.0946,0.0962,0.0972,0.0981,0.0972,0.0969,0.0887,0.0968,0.096,0.0969,0.0966,0.0953,0.0958
3599.832,30.2,5,0.0965,0.0975,0.0976,0.097,0.0979,0.096,0.0974,0.0977,0.0974,0.0983,0.0955,0.0971,0.097,0.0949,0.0951,0.0954,0.0954,0.0948,0.0954,0.0958,0.0959,0.0969,0.0964,0.0945,0.095,0.094,0.0947,0.0943,0.0955,0.0937,0.095,0.0942,0.0938,0.0939,0.0941,0.0954,0.0957,0.0946,0.0929,0.0953,0.0945,0.0943,0.0941,0.0943,0.0924,0.0958,0.096,0.096,0.0959,0.0958,0.0962,0.0961,0.096,0.0955,0.0953,0.0956,0.0954,0.0962,0.0961,0.0923,0.0966,0.0954,0.0988,0.096,0.0965,0.0966,0.0961,0.0963,0.0961,0.0957,0.0961,0.0958,0.0925,0.0978,0.1131,0.0979,0.0968,0.0945,0.0963,0.0966,0.0974,0.096,0.0965,0.0947,0.0963,0.0973,0.0979,0.0969,0.097,0.0887,0.0968,0.0964,0.097,0.0965,0.0954,0.0957
4499.821,30.1,6,0.0968,0.0975,0.0977,0.0972,0.0978,0.0961,0.0973,0.0978,0.0976,0.0983,0.0957,0.097,0.0972,0.0955,0.0952,0.0955,0.0956,0.0949,0.0958,0.096,0.0962,0.0971,0.0966,0.0946,0.0951,0.094,0.0946,0.0944,0.0957,0.094,0.0952,0.0943,0.0943,0.0943,0.0942,0.0955,0.0958,0.095,0.0933,0.0961,0.0946,0.0945,0.0944,0.0946,0.0923,0.0971,0.0962,0.0957,0.0962,0.0956,0.0963,0.0961,0.0959,0.0956,0.0953,0.0956,0.0956,0.0964,0.0965,0.0921,0.0965,0.0954,0.0989,0.096,0.0963,0.0968,0.0962,0.0964,0.0961,0.0958,0.0962,0.0959,0.0925,0.0977,0.0975,0.098,0.097,0.0947,0.0964,0.0965,0.0977,0.0961,0.0971,0.0945,0.0963,0.0973,0.098,0.0972,0.0971,0.0889,0.0969,0.0954,0.0973,0.0968,0.0955,0.0957
5399.793,30.2,7,0.0968,0.0975,0.0977,0.0972,0.0979,0.0962,0.0973,0.0977,0.0976,0.0984,0.0956,0.0968,0.0972,0.0956,0.0967,0.0956,0.0959,0.0953,0.096,0.0963,0.0963,0.0973,0.0968,0.0947,0.0951,0.0942,0.0947,0.0944,0.096,0.0939,0.0954,0.0943,0.0945,0.0948,0.0944,0.0954,0.0959,0.0952,0.0933,0.0952,0.0946,0.0947,0.0945,0.0948,0.0923,0.0959,0.0962,0.0958,0.0992,0.0957,0.0964,0.0963,0.0959,0.0955,0.0954,0.0957,0.0958,0.0966,0.0966,0.0923,0.0965,0.0953,0.0991,0.0961,0.0964,0.0967,0.0964,0.0963,0.0961,0.096,0.0962,0.0959,0.0926,0.097,0.0977,0.0981,0.097,0.0948,0.097,0.0966,0.0974,0.0963,0.0972,0.0944,0.0964,0.0972,0.0979,0.0973,0.0971,0.0887,0.0969,0.096,0.097,0.0968,0.0954,0.0957
6299.773,30.1,8,0.0967,0.0974,0.0978,0.0973,0.0979,0.0961,0.0972,0.0979,0.0977,0.0984,0.0958,0.0971,0.097,0.0957,0.0956,0.0958,0.0961,0.0955,0.0961,0.0965,0.0966,0.0976,0.0969,0.0948,0.0951,0.0942,0.0951,0.0947,0.0962,0.0941,0.0956,0.0945,0.0947,0.0951,0.0945,0.0954,0.0959,0.0955,0.0941,0.0966,0.0948,0.0951,0.0948,0.0951,0.0927,0.096,0.0964,0.096,0.1007,0.0958,0.0964,0.0963,0.0962,0.0957,0.0956,0.0959,0.0956,0.0967,0.0966,0.0925,0.0964,0.0954,0.0991,0.0962,0.0963,0.0969,0.0966,0.0963,0.0961,0.096,0.0961,0.096,0.0926,0.0978,0.0978,0.0983,0.0972,0.0949,0.0982,0.0966,0.0974,0.0964,0.0971,0.0945,0.0965,0.0973,0.0982,0.0973,0.0971,0.0888,0.0969,0.096,0.0969,0.0967,0.0956,0.0957
7199.759,30.2,9,0.0966,0.0975,0.0975,0.0971,0.0978,0.096,0.0972,0.0978,0.0976,0.0983,0.0957,0.0969,0.0971,0.0959,0.0959,0.0958,0.0965,0.0958,0.0963,0.0968,0.0966,0.0976,0.0969,0.0948,0.0951,0.0944,0.0955,0.0946,0.0964,0.0941,0.0958,0.0947,0.095,0.0952,0.0944,0.0954,0.0957,0.0956,0.0939,0.0962,0.0949,0.095,0.095,0.0954,0.0928,0.096,0.0965,0.0957,0.1005,0.0957,0.0965,0.0962,0.096,0.0958,0.0957,0.0958,0.0956,0.0967,0.0965,0.0924,0.0966,0.0952,0.0991,0.0961,0.0965,0.0969,0.0965,0.0964,0.0962,0.0961,0.0963,0.0959,0.0925,0.097,0.0977,0.0981,0.0969,0.095,0.0983,0.0965,0.0977,0.0965,0.0972,0.0945,0.0962,0.0972,0.0982,0.0974,0.0973,0.0889,0.0966,0.0957,0.0973,0.0967,0.0956,0.096
8099.756,30.1,10,0.0966,0.0974,0.0975,0.0972,0.0978,0.0961,0.0971,0.0977,0.0975,0.0982,0.0957,0.0968,0.0971,0.0959,0.0966,0.096,0.0968,0.0957,0.0964,0.0967,0.0967,0.0977,0.0969,0.0947,0.0949,0.0943,0.0959,0.0946,0.0965,0.0943,0.0961,0.0947,0.0952,0.0954,0.0944,0.0953,0.0958,0.0958,0.0944,0.0962,0.0949,0.095,0.0953,0.0955,0.0927,0.096,0.0965,0.0956,0.0992,0.0957,0.0964,0.0962,0.096,0.0958,0.0956,0.0958,0.0958,0.0968,0.0967,0.0924,0.0964,0.0953,0.0993,0.0961,0.0963,0.097,0.0968,0.0964,0.0962,0.0962,0.0963,0.0959,0.0922,0.0971,0.0993,0.098,0.0969,0.0949,0.0973,0.0965,0.0976,0.0966,0.0973,0.0946,0.0964,0.097,0.0981,0.0969,0.0967,0.089,0.0967,0.0966,0.097,0.0966,0.0953,0.0957
