well	target	task	ct	cv	pv	time	plate	ran
A1	At_gene	UNKNOWN	18.38	GOLDEN	B7	120	4	49
A2	At_gene	UNKNOWN	23.55	RRS10	A9	72	4	50
A3	At_gene	UNKNOWN	17.22	DERBY	A14	24	4	51
A4	At_gene	UNKNOWN	14.5	DERBY	B7	24	4	52
A5	At_gene	UNKNOWN	21.89	RADISH	A14	24	4	53
A6	At_gene	UNKNOWN	20.36	RRS10	ES	72	4	54
A7	At_gene	UNKNOWN	16.74	RRS10	DC	120	4	55
A8	At_gene	UNKNOWN	19.15	BRANDY	A14	24	4	56
A9	At_gene	UNKNOWN	19.99	AFRICAN	ES	120	4	57
A10	At_gene	UNKNOWN	15.88	RRS10	A14	120	4	58
A11	At_gene	UNKNOWN	12.95	AFRICAN	A9	72	4	59
A12	At_gene	UNKNOWN	21.29	AFRICAN	NP	72	4	60
A13	oprF_syringae_gene	UNKNOWN	24.15	GOLDEN	B7	120	4	49
A14	oprF_syringae_gene	UNKNOWN	30.09	RRS10	A9	72	4	50
A15	oprF_syringae_gene	UNKNOWN	25.71	DERBY	A14	24	4	51
A16	oprF_syringae_gene	UNKNOWN	24.79	DERBY	B7	24	4	52
A17	oprF_syringae_gene	UNKNOWN	26.5	RADISH	A14	24	4	53
A18	oprF_syringae_gene	UNKNOWN	24.73	RRS10	ES	72	4	54
A19	oprF_syringae_gene	UNKNOWN	24.64	RRS10	DC	120	4	55
A20	oprF_syringae_gene	UNKNOWN	24.15	BRANDY	A14	24	4	56
A21	oprF_syringae_gene	UNKNOWN	26.89	AFRICAN	ES	120	4	57
A22	oprF_syringae_gene	UNKNOWN	25.5	RRS10	A14	120	4	58
A23	oprF_syringae_gene	UNKNOWN	25.98	AFRICAN	A9	72	4	59
A24	oprF_syringae_gene	UNKNOWN	23.98	AFRICAN	NP	72	4	60
B1	At_gene	UNKNOWN	19.98	RADISH	MOCK	72	4	61
B2	At_gene	UNKNOWN	15.77	DERBY	A9	72	4	62
B3	At_gene	UNKNOWN	16.57	RRS10	MOCK	120	4	63
B4	At_gene	UNKNOWN	18.63	GOLDEN	DC	24	4	64
B5	At_gene	UNKNOWN	20.53	RRS10	A14	24	4	65
B6	At_gene	UNKNOWN	18.78	RRS10	A14	72	4	66
B7	At_gene	UNKNOWN	14.98	RADISH	ES	120	4	67
B8	At_gene	UNKNOWN	14.36	AFRICAN	A9	24	4	68
B9	At_gene	UNKNOWN	17.74	GOLDEN	A9	120	4	69
B10	At_gene	UNKNOWN	15.58	RRS10	A9	120	4	70
B11	At_gene	UNKNOWN	16.12	DERBY	NP	24	4	71
B12	At_gene	UNKNOWN	15.55	GOLDEN	DC	120	4	72
B13	oprF_syringae_gene	UNKNOWN	34.31	RADISH	MOCK	72	4	61
B14	oprF_syringae_gene	UNKNOWN	25.71	DERBY	A9	72	4	62
B15	oprF_syringae_gene	UNKNOWN	30.86	RRS10	MOCK	120	4	63
B16	oprF_syringae_gene	UNKNOWN	28.92	GOLDEN	DC	24	4	64
B17	oprF_syringae_gene	UNKNOWN	24.18	RRS10	A14	24	4	65
B18	oprF_syringae_gene	UNKNOWN	27.75	RRS10	A14	72	4	66
B19	oprF_syringae_gene	UNKNOWN	29.97	RADISH	ES	120	4	67
B20	oprF_syringae_gene	UNKNOWN	22.85	AFRICAN	A9	24	4	68
B21	oprF_syringae_gene	UNKNOWN	25.43	GOLDEN	A9	120	4	69
B22	oprF_syringae_gene	UNKNOWN	27.91	RRS10	A9	120	4	70
B23	oprF_syringae_gene	UNKNOWN	25.02	DERBY	NP	24	4	71
B24	oprF_syringae_gene	UNKNOWN	23.87	GOLDEN	DC	120	4	72
C1	At_gene	UNKNOWN	21.22	GOLDEN	B7	72	4	73
C2	At_gene	UNKNOWN	16.5	BRANDY	MOCK	120	4	74
C3	At_gene	UNKNOWN	17.42	GOLDEN	NP	24	4	75
C4	At_gene	UNKNOWN	20.47	RRS10	ES	120	4	76
C5	At_gene	UNKNOWN	16.66	RADISH	B7	24	4	77
C6	At_gene	UNKNOWN	15.3	AFRICAN	A9	120	4	78
C7	At_gene	UNKNOWN	18.23	GOLDEN	A14	72	4	79
C8	At_gene	UNKNOWN	15.39	BRANDY	B7	24	4	80
C9	At_gene	UNKNOWN	14.96	AFRICAN	MOCK	72	4	81
C10	At_gene	UNKNOWN	18.65	GOLDEN	NP	72	4	82
C11	At_gene	UNKNOWN	15.79	DERBY	NP	72	4	83
C12	At_gene	UNKNOWN	16.67	RRS10	B7	120	4	84
C13	oprF_syringae_gene	UNKNOWN	27.26	GOLDEN	B7	72	4	73
C14	oprF_syringae_gene	UNKNOWN	32.67	BRANDY	MOCK	120	4	74
C15	oprF_syringae_gene	UNKNOWN	24.26	GOLDEN	NP	24	4	75
C16	oprF_syringae_gene	UNKNOWN	24.58	RRS10	ES	120	4	76
C17	oprF_syringae_gene	UNKNOWN	26	RADISH	B7	24	4	77
C18	oprF_syringae_gene	UNKNOWN	24.13	AFRICAN	A9	120	4	78
C19	oprF_syringae_gene	UNKNOWN	26.09	GOLDEN	A14	72	4	79
C20	oprF_syringae_gene	UNKNOWN	26.21	BRANDY	B7	24	4	80
C21	oprF_syringae_gene	UNKNOWN	30.77	AFRICAN	MOCK	72	4	81
C22	oprF_syringae_gene	UNKNOWN	32.16	GOLDEN	NP	72	4	82
C23	oprF_syringae_gene	UNKNOWN	29.43	DERBY	NP	72	4	83
C24	oprF_syringae_gene	UNKNOWN	23.74	RRS10	B7	120	4	84
D1	At_gene	UNKNOWN	16.79	GOLDEN	MOCK	120	4	85
D2	At_gene	UNKNOWN	15.15	DERBY	B7	120	4	86
D3	At_gene	UNKNOWN	33.29	RADISH	A9	24	4	87
D4	At_gene	UNKNOWN	17.92	RADISH	DC	24	4	88
D5	At_gene	UNKNOWN	18.06	RADISH	DC	120	4	89
D6	At_gene	UNKNOWN	14.09	BRANDY	A9	72	4	90
D7	At_gene	UNKNOWN	17.5	DERBY	A9	24	4	91
D8	At_gene	UNKNOWN	16.35	DERBY	A9	120	4	92
D9	At_gene	UNKNOWN	13.71	RADISH	ES	24	4	93
D10	At_gene	UNKNOWN	18.25	BRANDY	NP	72	4	94
D11	At_gene	UNKNOWN	16.05	DERBY	ES	24	4	95
D12	At_gene	UNKNOWN	14.28	BRANDY	B7	120	4	96
D13	oprF_syringae_gene	UNKNOWN	34.03	GOLDEN	MOCK	120	4	85
D14	oprF_syringae_gene	UNKNOWN	23.6	DERBY	B7	120	4	86
D15	oprF_syringae_gene	UNKNOWN	35.71	RADISH	A9	24	4	87
D16	oprF_syringae_gene	UNKNOWN	23.78	RADISH	DC	24	4	88
D17	oprF_syringae_gene	UNKNOWN	23.4	RADISH	DC	120	4	89
D18	oprF_syringae_gene	UNKNOWN	28.82	BRANDY	A9	72	4	90
D19	oprF_syringae_gene	UNKNOWN	25.28	DERBY	A9	24	4	91
D20	oprF_syringae_gene	UNKNOWN	25.92	DERBY	A9	120	4	92
D21	oprF_syringae_gene	UNKNOWN	24.88	RADISH	ES	24	4	93
D22	oprF_syringae_gene	UNKNOWN	26.96	BRANDY	NP	72	4	94
D23	oprF_syringae_gene	UNKNOWN	28.53	DERBY	ES	24	4	95
D24	oprF_syringae_gene	UNKNOWN	30.88	BRANDY	B7	120	4	96
E1	At_gene	UNKNOWN	14.47	BRANDY	DC	120	4	97
E2	At_gene	UNKNOWN	32.63	GOLDEN	A14	24	4	98
E3	At_gene	UNKNOWN	20.89	BRANDY	NP	24	4	99
E4	At_gene	UNKNOWN	14.68	BRANDY	ES	24	4	100
E5	At_gene	UNKNOWN	14.9	AFRICAN	ES	72	4	101
E6	At_gene	UNKNOWN	19.23	GOLDEN	A14	120	4	102
E7	At_gene	UNKNOWN	19.48	RRS10	NP	72	4	103
E8	At_gene	UNKNOWN	15.85	DERBY	B7	72	4	104
E9	At_gene	UNKNOWN	16.45	DERBY	MOCK	72	4	105
E10	At_gene	UNKNOWN	18.77	DERBY	DC	72	4	106
E11	At_gene	UNKNOWN	19.01	RRS10	B7	72	4	107
E12	At_gene	UNKNOWN	20.07	DERBY	ES	72	4	108
E13	oprF_syringae_gene	UNKNOWN	26	BRANDY	DC	120	4	97
E14	oprF_syringae_gene	UNKNOWN	38.47	GOLDEN	A14	24	4	98
E15	oprF_syringae_gene	UNKNOWN	26.1	BRANDY	NP	24	4	99
E16	oprF_syringae_gene	UNKNOWN	24.79	BRANDY	ES	24	4	100
E17	oprF_syringae_gene	UNKNOWN	24.55	AFRICAN	ES	72	4	101
E18	oprF_syringae_gene	UNKNOWN	25.9	GOLDEN	A14	120	4	102
E19	oprF_syringae_gene	UNKNOWN	24.74	RRS10	NP	72	4	103
E20	oprF_syringae_gene	UNKNOWN	25.76	DERBY	B7	72	4	104
E21	oprF_syringae_gene	UNKNOWN	33.84	DERBY	MOCK	72	4	105
E22	oprF_syringae_gene	UNKNOWN	24.31	DERBY	DC	72	4	106
E23	oprF_syringae_gene	UNKNOWN	24.74	RRS10	B7	72	4	107
E24	oprF_syringae_gene	UNKNOWN	29.96	DERBY	ES	72	4	108
F1	At_gene	UNKNOWN	19.27	AFRICAN	NP	24	4	109
F2	At_gene	UNKNOWN	19.75	RADISH	A14	120	4	110
F3	At_gene	UNKNOWN	20.15	RRS10	MOCK	72	4	111
F4	At_gene	UNKNOWN	16.47	AFRICAN	MOCK	120	4	112
F5	At_gene	UNKNOWN	18.34	RADISH	A14	72	4	113
F6	At_gene	UNKNOWN	15.66	BRANDY	NP	120	4	114
F7	At_gene	UNKNOWN	18.77	GOLDEN	MOCK	24	4	115
F8	At_gene	UNKNOWN	16.08	BRANDY	ES	120	4	116
F9	At_gene	UNKNOWN	20.85	GOLDEN	A9	72	4	117
F10	At_gene	UNKNOWN	15.01	BRANDY	ES	72	4	118
F11	At_gene	UNKNOWN	16.9	RRS10	NP	120	4	119
F12	At_gene	UNKNOWN	16.19	BRANDY	MOCK	24	4	120
F13	oprF_syringae_gene	UNKNOWN	24.81	AFRICAN	NP	24	4	109
F14	oprF_syringae_gene	UNKNOWN	29.61	RADISH	A14	120	4	110
F15	oprF_syringae_gene	UNKNOWN	32.69	RRS10	MOCK	72	4	111
F16	oprF_syringae_gene	UNKNOWN	31.08	AFRICAN	MOCK	120	4	112
F17	oprF_syringae_gene	UNKNOWN	26.41	RADISH	A14	72	4	113
F18	oprF_syringae_gene	UNKNOWN	25	BRANDY	NP	120	4	114
F19	oprF_syringae_gene	UNKNOWN	35.01	GOLDEN	MOCK	24	4	115
F20	oprF_syringae_gene	UNKNOWN	26.63	BRANDY	ES	120	4	116
F21	oprF_syringae_gene	UNKNOWN	27.81	GOLDEN	A9	72	4	117
F22	oprF_syringae_gene	UNKNOWN	26.99	BRANDY	ES	72	4	118
F23	oprF_syringae_gene	UNKNOWN	27.88	RRS10	NP	120	4	119
F24	oprF_syringae_gene	UNKNOWN	34.73	BRANDY	MOCK	24	4	120
G1	At_gene	UNKNOWN	16.17	AFRICAN	A14	24	4	121
G2	At_gene	UNKNOWN	20.52	GOLDEN	ES	72	4	122
G3	At_gene	UNKNOWN	14.88	DERBY	NP	120	4	123
G4	At_gene	UNKNOWN	16.29	DERBY	A14	120	4	124
G5	At_gene	UNKNOWN	15.92	DERBY	DC	24	4	125
G6	At_gene	UNKNOWN	21.66	GOLDEN	B7	24	4	126
G13	oprF_syringae_gene	UNKNOWN	25.02	AFRICAN	A14	24	4	121
G14	oprF_syringae_gene	UNKNOWN	26.68	GOLDEN	ES	72	4	122
G15	oprF_syringae_gene	UNKNOWN	23.72	DERBY	NP	120	4	123
G16	oprF_syringae_gene	UNKNOWN	25.23	DERBY	A14	120	4	124
G17	oprF_syringae_gene	UNKNOWN	26.02	DERBY	DC	24	4	125
G18	oprF_syringae_gene	UNKNOWN	26.14	GOLDEN	B7	24	4	126
K1	At_gene	STANDARD	16.87	na	na	1	0	0
K2	At_gene	STANDARD	14.41	na	na	1	0	0
K3	At_gene	STANDARD	11.99	na	na	1	0	0
K4	At_gene	STANDARD	12.53	na	na	1	0	0
K5	At_gene	STANDARD	10.59	na	na	1	0	0
K6	At_gene	STANDARD	16.29	na	na	1	0	0
K24	oprF_syringae_gene	STANDARD	15.96	A9	na	1	0	0
L1	At_gene	STANDARD	19.86	na	na	1	0	0
L2	At_gene	STANDARD	16.27	na	na	1	0	0
L3	At_gene	STANDARD	14.16	na	na	1	0	0
L4	At_gene	STANDARD	14.86	na	na	1	0	0
L5	At_gene	STANDARD	13.06	na	na	1	0	0
L6	At_gene	STANDARD	18.26	na	na	1	0	0
