key	A07889	A10853	A1448A	A26002	A41a	A9	Alf3	B301DR	B48	BRIP34876	CC1458	CC1513	CC1630	CC440	CC94	CFBP1657	CFBP3846	DC3000	DSM50255	ES4326	HRIW7872	ICMP16944	ICMP18417	ICMP2814	ICMP2855	ICMP4116	ICMP4303	ICMP4917	ICMP5027	ICMP8960	ISPaVe013	NCPPB2598	NP29	P21	P89	PA459	PP1
A07889	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932
A10853	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
A1448A	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036	2036
A26002	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
A41a	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986
A9	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919
Alf3	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923	1923
B301DR	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974	1974
B48	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041
BRIP34876	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967
CC1458	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783	1783
CC1513	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836	1836
