key	A07889	A10853	A1448A	A26002	A41a	A9	Alf3	B301DR	B48	BRIP34876	CC1458	CC1513	CC1630	CC440	CC94	CFBP1657	CFBP3846	DC3000	DSM50255	ES4326	HRIW7872	ICMP16944	ICMP18417	ICMP2814	ICMP2855	ICMP4116	ICMP4303	ICMP4917	ICMP5027	ICMP8960	ISPaVe013	NCPPB2598	NP29	P21	P89	PA459	PP1
A07889	1914	1442	1492	1481	1500	1511	1470	1465	1478	1450	1363	1413	1441	1478	1309	1532	1582	1548	1307	1690	1469	1404	1439	1498	1451	1496	1479	1421	1311	1395	1476	1372	1516	1467	1456	1471	1499
A10853	1451	1991	1581	1664	1715	1502	1707	1771	1764	1675	1573	1450	1426	1719	1583	1489	1508	1528	1481	1464	1757	1484	1430	1468	1578	1448	1470	1678	1323	1435	1638	1375	1792	1719	1705	1447	1674
A1448A	1499	1564	2030	1605	1611	1581	1586	1600	1603	1556	1476	1454	1487	1602	1420	1562	1626	1619	1423	1514	1585	1599	1517	1534	1645	1540	1538	1554	1498	1461	1590	1479	1639	1612	1622	1541	1633
A26002	1461	1671	1605	2000	1733	1546	1722	1719	1748	1711	1588	1464	1445	1743	1518	1530	1534	1560	1498	1498	1716	1512	1449	1479	1557	1473	1484	1664	1359	1446	1689	1414	1733	1729	1806	1476	1684
A41a	1465	1708	1607	1736	1983	1537	1804	1752	1760	1774	1640	1468	1460	1823	1544	1515	1557	1550	1548	1532	1744	1508	1437	1477	1587	1478	1474	1728	1350	1466	1711	1403	1774	1817	1758	1484	1780
A9	1528	1481	1595	1566	1552	1914	1531	1546	1554	1509	1413	1422	1713	1544	1381	1769	1787	1790	1366	1533	1535	1480	1599	1741	1537	1702	1727	1499	1333	1420	1505	1530	1559	1525	1511	1575	1550
Alf3	1446	1688	1593	1720	1805	1520	1921	1749	1755	1761	1642	1418	1420	1841	1541	1492	1520	1516	1558	1474	1736	1469	1420	1485	1530	1462	1482	1728	1351	1436	1668	1388	1760	1806	1741	1442	1765
B301DR	1462	1749	1608	1725	1750	1530	1745	1970	1839	1704	1596	1440	1458	1772	1600	1516	1542	1544	1515	1505	1812	1478	1436	1474	1542	1458	1492	1701	1338	1442	1671	1401	1836	1747	1733	1465	1706
B48	1479	1760	1593	1723	1762	1542	1752	1844	2039	1696	1616	1445	1464	1777	1597	1520	1537	1574	1505	1512	1920	1500	1451	1493	1570	1478	1484	1685	1347	1442	1705	1409	1832	1767	1741	1472	1729
BRIP34876	1452	1653	1559	1723	1774	1526	1764	1711	1715	1964	1621	1436	1459	1776	1504	1486	1537	1531	1552	1488	1700	1482	1413	1459	1540	1464	1458	1687	1334	1453	1652	1367	1728	1779	1728	1446	1725
CC1458	1367	1587	1489	1606	1654	1448	1643	1616	1626	1629	1771	1375	1361	1669	1458	1410	1443	1422	1499	1378	1615	1420	1361	1383	1445	1381	1390	1591	1290	1369	1579	1334	1621	1668	1610	1352	1630
CC1513	1414	1438	1469	1457	1476	1430	1436	1446	1450	1473	1390	1815	1367	1481	1314	1421	1450	1449	1328	1457	1446	1377	1378	1409	1457	1419	1380	1416	1284	1660	1432	1351	1485	1480	1515	1394	1493
CC1630	1462	1440	1495	1464	1469	1728	1448	1484	1480	1470	1358	1371	1863	1467	1322	1679	1691	1692	1323	1490	1456	1432	1535	1666	1478	1617	1649	1444	1295	1375	1451	1471	1465	1464	1476	1531	1484
CC440	1451	1685	1595	1737	1830	1540	1846	1753	1780	1779	1638	1461	1462	1975	1549	1504	1539	1544	1544	1504	1740	1492	1424	1464	1573	1462	1473	1726	1356	1449	1692	1388	1790	1834	1751	1482	1775
CC94	1336	1619	1424	1547	1560	1397	1562	1626	1617	1525	1468	1328	1349	1580	1741	1384	1405	1391	1425	1366	1619	1408	1339	1361	1440	1330	1366	1535	1250	1324	1519	1278	1643	1554	1550	1334	1520
CFBP1657	1538	1488	1579	1539	1516	1769	1501	1550	1538	1495	1407	1431	1676	1519	1362	1943	1768	1821	1354	1544	1522	1464	1587	1701	1535	1703	1720	1471	1335	1423	1498	1518	1546	1525	1511	1583	1539
CFBP3846	1560	1509	1635	1559	1563	1792	1524	1543	1523	1514	1406	1460	1678	1549	1380	1770	2161	1824	1369	1586	1523	1484	1622	1759	1592	1735	1736	1484	1374	1480	1500	1556	1559	1564	1544	1624	1575
DC3000	1547	1504	1602	1565	1542	1792	1532	1533	1582	1504	1415	1449	1691	1536	1388	1822	1850	2174	1363	1604	1560	1502	1594	1736	1606	1767	1731	1488	1350	1495	1524	1557	1542	1543	1533	1604	1541
DSM50255	1321	1502	1430	1509	1570	1367	1572	1530	1525	1569	1514	1328	1332	1568	1408	1349	1374	1365	1662	1337	1521	1366	1296	1340	1417	1312	1343	1524	1248	1311	1507	1276	1531	1570	1547	1326	1552
ES4326	1694	1474	1509	1483	1516	1529	1482	1474	1523	1490	1398	1447	1475	1513	1349	1525	1582	1602	1333	2192	1496	1446	1459	1496	1510	1557	1478	1439	1311	1459	1489	1400	1546	1527	1514	1500	1520
HRIW7872	1470	1729	1571	1705	1744	1523	1727	1814	1923	1713	1595	1428	1437	1748	1582	1519	1518	1541	1493	1500	1924	1479	1427	1478	1539	1492	1469	1675	1334	1438	1690	1392	1811	1721	1704	1441	1693
ICMP16944	1421	1486	1606	1512	1532	1503	1506	1488	1502	1493	1436	1380	1418	1504	1370	1462	1521	1487	1362	1468	1489	1742	1394	1455	1535	1455	1454	1466	1363	1379	1502	1412	1542	1522	1535	1441	1505
ICMP18417	1434	1424	1516	1462	1455	1603	1441	1474	1463	1411	1341	1378	1518	1454	1293	1582	1612	1601	1295	1465	1443	1389	1933	1566	1481	1545	1571	1416	1292	1364	1442	1545	1474	1472	1455	1570	1446
ICMP2814	1493	1459	1550	1505	1507	1744	1502	1491	1510	1492	1382	1404	1641	1501	1354	1725	1775	1754	1339	1510	1480	1451	1556	1922	1526	1686	1727	1457	1309	1428	1450	1499	1548	1519	1475	1538	1508
ICMP2855	1473	1550	1633	1578	1585	1554	1567	1567	1558	1546	1433	1443	1476	1580	1431	1541	1601	1607	1396	1517	1545	1516	1487	1539	1987	1545	1514	1506	1391	1476	1560	1445	1581	1602	1627	1535	1589
ICMP4116	1533	1434	1537	1492	1505	1719	1470	1478	1510	1473	1361	1424	1624	1487	1317	1715	1739	1777	1316	1554	1502	1446	1546	1673	1533	1942	1669	1430	1330	1467	1475	1510	1500	1500	1486	1571	1518
ICMP4303	1488	1470	1548	1499	1476	1737	1495	1528	1508	1463	1370	1404	1639	1494	1343	1724	1728	1724	1335	1499	1485	1441	1561	1722	1509	1653	1949	1439	1299	1388	1458	1484	1511	1464	1500	1534	1477
ICMP4917	1426	1670	1558	1673	1745	1500	1734	1699	1684	1704	1586	1419	1419	1744	1515	1464	1507	1488	1518	1435	1684	1458	1411	1438	1528	1417	1432	1874	1324	1422	1617	1356	1724	1744	1699	1416	1696
ICMP5027	1319	1346	1529	1376	1380	1350	1372	1373	1367	1362	1306	1291	1304	1394	1254	1357	1387	1364	1252	1323	1365	1401	1294	1314	1420	1350	1320	1324	1631	1293	1368	1308	1366	1397	1389	1352	1408
ICMP8960	1413	1434	1478	1462	1480	1422	1449	1468	1445	1441	1370	1670	1360	1471	1301	1432	1496	1491	1304	1444	1450	1383	1371	1407	1469	1429	1388	1417	1284	1878	1427	1358	1490	1472	1504	1402	1465
ISPaVe013	1456	1612	1592	1686	1728	1493	1683	1676	1712	1660	1554	1413	1431	1692	1485	1488	1503	1524	1491	1505	1692	1483	1417	1442	1554	1468	1477	1602	1340	1418	2001	1397	1685	1678	1694	1483	1689
NCPPB2598	1403	1389	1487	1449	1419	1534	1421	1419	1421	1398	1345	1343	1478	1410	1278	1512	1551	1558	1279	1429	1407	1422	1556	1512	1471	1516	1508	1376	1306	1354	1421	1832	1425	1432	1441	1577	1419
NP29	1504	1785	1633	1734	1791	1541	1761	1837	1841	1716	1597	1466	1457	1783	1618	1511	1572	1551	1511	1532	1816	1517	1458	1516	1583	1495	1499	1720	1365	1472	1678	1410	1997	1764	1754	1461	1757
P21	1470	1704	1600	1727	1827	1524	1815	1755	1767	1787	1642	1482	1470	1850	1528	1508	1569	1545	1549	1539	1735	1505	1445	1500	1580	1483	1458	1736	1381	1508	1667	1411	1756	2069	1775	1518	1787
P89	1449	1704	1614	1818	1763	1544	1739	1742	1747	1735	1589	1489	1481	1755	1543	1526	1548	1543	1511	1516	1720	1526	1461	1510	1620	1485	1496	1694	1346	1490	1689	1429	1754	1760	2039	1489	1730
PA459	1476	1438	1560	1484	1507	1599	1477	1474	1493	1464	1364	1403	1523	1492	1311	1588	1632	1615	1315	1528	1467	1455	1553	1553	1551	1588	1552	1425	1338	1415	1493	1560	1497	1493	1503	1985	1496
PP1	1509	1662	1629	1672	1782	1547	1764	1692	1736	1717	1615	1472	1470	1792	1518	1518	1576	1562	1534	1549	1702	1503	1466	1491	1569	1473	1466	1697	1376	1474	1682	1396	1745	1782	1711	1483	2005
